SL.,NCR REPORT NO.,DATE OF NCR ,DATE  OF DETECTION,ITEM DESCRIPTION,NCR Description,Part Number,"Modified or Unmodified
FMI",Failure After FMI,Faulty Sl. No.,Healthy Sl. No.,ISSUED BY,Qty.,SUB-SYSTEM, Train No,CAR,RESPONSIBILITY (VENDOR/BEML),STATUS,ITEM REPAIRED/ RECOUPED,ITEM REPLACED (IF ANY),DATE OF REPAIRED/REPLACED,SOURCE,DATE OF INVESTIGATION REPORT RECEIVED,"NCR CLOSED BY DOC.,",GATE PASS           S/No,Remarks,IR Printed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,NCR-BEML RS3R-T&C-CPD-360,07/Oct/21,04/Oct/21,Door Control Unit (DCU),"During internal checking it was reported that TS#09 TC2, R2 saloon door DCU not working. Checked all related wiring and input supply and found normal. DCU replaced with new one and found working normal.",,,,315281-00000185,315281-00000431,Sarath,1,Door,9,T-2 R2,M/s KBI,CLOSED,Recouped,DCU,06.10.21,DLP,"Received
29.03.24",,168,"IR- Received
Material- Received",YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,NCR-BEML RS3R-T&C-CPD-361,09/Oct/21,08/Oct/21,PEAU,"During internal check, it was observed that TS#09 -DMC2-L2 PEAU not working. All related wirings checked and found ok. PEAU faulty as confirmed by M/s PTCS.",,,,1804067-0004,1808402-0097,Sunil Kumar Rajan,1,PAPIS,9,DM-2 L2,M/s Televic,CLOSED,,,,,"Received
28.08.23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,NCR-BEML RS3R-T&C-CPD-362,11/Oct/21,08/Oct/21,Emergency inverter,"TS#07-DMC1-VAC1 emergency ventilation test was showing “Not Good” during on board test. After checking it was observed that DMC1 VAC1 is not running in Emergency mode. Upon investigation, it has been confirmed that the emergency inverter is faulty. It has been replaced from DLP stock.
Healthy Sl. No: BTN2028U51-0572
Faulty Sl. No: BTN2028U5I-0439",,Unmodified,NO,BTN2028U5I-0439,BTN2028U51-0572,Sarath,1,VAC,07,DM-1- VAC1,M/s Faiveley,CLOSED,Recouped,Emergency inverter,08.10.21,DLP,Received,,166,Failure rate is high. Issue under monitoring.,"YES
(Attached with NCR 497)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,NCR-BEML RS3R-T&C-CPD-363,11/Oct/21,08/Oct/21,Emergency inverter,"TS#04-MC2-VAC major fault was reported. Checked and found MC2 VAC2 Emergency inverter fault was recorded in TCMS. After investigation, it has been confirmed that the emergency inverter is faulty. It has been replaced from M/s Faiveley stock.
Healthy Sl. No: BTN2028U5I-128
Faulty Sl. No: BTN2028U5I-089",,Unmodified,NO,BTN2028U5I-089,BTN2028U5I-128,Sarath,1,VAC,04,M-2-VAC2,M/s Faiveley,CLOSED,REPLACED,Emergency inverter,,REPLACEMENT BY VENDOR,Received,,166,Failure rate is high. Issue under monitoring.,"YES
(Attached with NCR 497)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,NCR-BEML RS3R-T&C-CPD-364,11/Oct/21,09/Oct/21,DC-DC Converter,During internal checking DMC2 VAC1 smoke detector fault was reported. All related wiring checked and found normal. Smoke detector swapped with VAC2 but fault was persisting. DC-DC converter replaced with new one and found fault cleared. DC-DC converter faulty as confirmed by M/s Faiveley.,,,,27816B743C,08913B951C,Sarath,1,VAC,9,DM-2-VAC1,M/s Faiveley,CLOSED,,,,,Received,,166,"Material- Received
IR- Received",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,NCR-BEML RS3R-T&C-CPD-365,16/Oct/21,12/Oct/21,Compressor,"During daily fitness check, it was reported by Metro Railway that MC2-VAC1 was not working in cool mode and only working in emergency mode. RCCB (QF01) was found in tripped condition. Compressor 2 Phase-phase resistance checked; U-V 2.2Ω, U-W 2.2Ω, V-W 1.5Ω so phase imbalancing noticed. On further checking, during meggering it was found that all 3 phases of compressor were showing 0 Ω with respect to ground. Hence it was concluded that the compressor was faulty. Same has been replaced from DLP stock and VAC function checked and OBT done and all found ok. ",,,,18BG9770Z,21FF1001Z,Sarath,1,VAC,3,M-2-VAC1-Compressor2,M/s Faiveley,CLOSED,,,,,"Received
12.02.24",,166,"Failure rate is high. Issue under monitoring.
In NCR description, DLP stock is written as source but in DLP register no entry for this NCR.","YES
(Attached with NCR 282)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,NCR-BEML RS3R-T&C-CPD-366,,,,,,,,,,,,,,,,OPEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,NCR-BEML RS3R-T&C-CPD-367,22/Oct/21,22/Oct/21,Emergency inverter,"In TS#06- During commissioning, TC2, VAC2, Emergency Inverter fault was recorded in TCMS. On investigation, it is found that emergency inverter OK signal feedback is not coming on MONA app. The same has been replaced from M/s Faiveley stock. 
Faulty Sl. No: BTN2028U5I-0424
Healthy Sl. No: BTN2028U5I-0594
After replacement fault got cleared.",,Unmodified,NO,BTN2028U5I-0424,BTN2028U5I-0594,Sarath,1,VAC,06,T-2 VAC2,M/s Faiveley,CLOSED,REPLACED,Emergency inverter,,REPLACEMENT BY VENDOR,"08.10.2021
Rev: 01.09.2022",,170,,"YES
(Attached with NCR 497)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,NCR-BEML RS3R-T&C-CPD-368,23/Oct/21,22/Oct/21,FDI/TNI,"During revenue operation, it was reported that TS#09-DMC1 FDI/ TNI not working. All related wirings checked and found ok. FDI/ TNI faulty as confitmed by ",,,,1890008-0001,1890005-0007,Sarath,1,PAPIS,9,DM-1,M/s Televic,CLOSED,Repaired,,,,"Received
28.08.23",Mail received on 21.04.22 for receiving material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,NCR-BEML RS3R-T&C-CPD-369,25/Oct/21,21/Oct/21,KSN01 card,During internal checking EBCU Fault-CDS Missing device KSN01 X B1 fault was popping up in TCMS. BECU reset done but fault was persisting. On suspect basis KSN01 card swapped between BECU 1 & BECU2 and found fault got swapped. Hence it was confirmed that card is faulty.,,,,Z08192741,Z08423464,Sarath,1,Brake,5,DM-2 BECU2,M/s KBI,CLOSED,Recouped,KSN01 card,21.10.21,DLP,Received,,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,NCR-BEML RS3R-T&C-CPD-370,25/Oct/21,23/Oct/21,LAD01B,During mainline run it was observed that EBCU Fault-FDS relay power cutoff B1 was popping up in TCMS. BECU reset done but fault was persisting. On suspect basis LAD01B card swapped between BECU 1 & BECU2 and found fault got swapped. Hence it was confirmed that card is faulty.,,,,Z05080434,Z08243040,Sarath,1,Brake,6,DM-1 BECU1,M/s KBI,OPEN,Recouped,LAD01B,29.10.21,DLP,08.08.23,,162,Discrepancy in FIR. KBI has to resubmit.,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,NCR-BEML RS3R-T&C-CPD-371,01/Nov/21,29/Oct/21,TFT,"During internal check, TS#01-DMC1-L1 TFT- horizonral lines were showing in display. All related wirings checked and found normal. TFT replaced with DLP stock and found ok. TFT is faulty as confirmed by M/s PTCS.",,,,1800687-0004,1800683-0001,Sunil Kumar Rajan,1,PAPIS,1,DM-1-L1,M/s Televic,CLOSED,Recouped,YES,10.04.23,DLP,"Received
28.08.23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,NCR-BEML RS3R-T&C-CPD-372,27/Oct/21,27/Oct/21,Supply air fan (SAF) 2,"In TS#02- , TC1, VAC 1, Supply air fan 2 CB trip fault reported in Mainline. The same has been checked by connecting with MONA app. DF_SAF2_CB fault found in active condition. Further, for checking winding resistance of SAF-2, X04 harting connector has been removed. Winding resistance has been checked between pin 19-20,20-21 & 21-19. Value details are:

a) Pin 19-20 - 13.2 ohm, its found ok.
b) Pin 20-21 – OL, its not ok
c) Pin 21-19 – OL, its not ok.

Further, winding resistance at SAF motor side has been checked at UV, VW & WU. It was found open loop between VW & WU. So, Supply air fan is suspected.

The same has been replaced from DLP stock. After that function check & OBT done and found normal.

Faulty Sl No. :  AH-07003768/1752/019 

Healthy Sl No. :  AH-07006150/1952/02

After replacement fault got cleared.
",,,,AH-07003768/1752/019 ,AH-07006150/1952/02,Shilpa Sahu,1,VAC,2,T-1 VAC1,M/s Faiveley,CLOSED,,,21.02.22,,Received,,163,"Material- Recouped 
IR- Received",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,NCR-BEML RS3R-T&C-CPD-373,09/Nov/21,03/Nov/21,TCMS VDU,"During internal checking, it was found that TCMS VDU was not booting.
(Image attached)",,,,DM06187,,Arghya Kar ,1,TCMS,11,DM-1,M/s MELCO,CLOSED,,YES,,,06.12.22,,169,Item received at CPD. IR received on 06.12.22.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,NCR-BEML RS3R-T&C-CPD-374,12/Nov/21,02/Nov/21,Terminal Block (TB) of LTJB1,"During schedule checking, it was reported that in MC1 LTJB1 2 nos. TB had burnt marks. Same were replaced from DLP stock to make the train fit.
(2 Images attached)",,,,___,___,Arghya Kar ,2,VCC,1,M-1-LTJB1,M/s River Engineering Ltd.,OPEN,"Recouped on 
20.08.2022",,,,,,,"Opened, 2 nos are to be provided against NCR. Only 1 no. recouped on 20.08.22.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,NCR-BEML RS3R-T&C-CPD-375,09/Nov/21,05/Nov/21,BVMR2,"Train was not getting Aux On due to non-functioning of BVMR2 in T1 CAR,TS#11 (BUVDR energized in DMC1). Problem rectified by replacing BVMR2 from other train (TS#14).",,,,2137,"# BVMR2 (Sl. No: 1816- NCR 322) was found faulty & replacement was sent bearing Sl. No: 2137 but this replacement was also found faulty & NCR 375 raised for that. So, NCR 322 & 375 should be treated as a single NCR.",Suraj Pd Barnwal,1,VCC,11,T-1,M/s AAL,CLOSED,,NCR-322 & 375 closed together,22.12.2021,AAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,NCR-BEML RS3R-T&C-CPD-376,10/Nov/21,02/Nov/21,Door Control Unit (DCU),"Metro Railway reported that MC1 R2 door was showing unknown status in TCMS VDU & it was not working during revenue service. Internal security relay of the DCU failed found as per TCMS & DCU data.
KBI has been replaced the DCU from DLP Stock On suspect basis & kept under monitoring for 1 week.
TS#03- MC1- R2 Saloon Door working normally after replacement and one week completed on 09.11.2021.",,,,315281-00000155-0917,315281-00000216-1217,Sunil Kumar Rajan,1,Door,3,M-1-R2,M/s KBI,Closed,Recouped,DCU,02.11.21,DLP,"Received
29.03.24",,164,"IR rejected by GC/ KMRCL. But on 04.04.22, LAD sir wrote to Dipankar sir for closing the case.",YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,NCR-BEML RS3R-T&C-CPD-377,13/Nov/21,05/Nov/21,Auto coupler proximity switch 1 male connector,"During schedule checking, it was reported that MCDR (Mechanical Coupler detection Relay) is not picked between MC1- MC2 in TS#12. On TCMS, DI signal for same is low.
For invesigation purpose, train was uncoupled between MC1-MC2. During investigation, it is found that 1/2"" male connector pin of proximity sensor was found damaged in MC1 car. Pics attached.
FTI don't have spare stock for same. Also, this item is not in DLP stock. To make train fit, for time being the same have been taken out from TS#12, DMC1 side front coupler.
After replacement, function checked, found ok. MCDR is picked in both MC1 & MC2 car. Fault got cleared.",,,,___,___,Shilpa Sahu,1,Coupler,12,M-1,M/s Faiveley,OPEN,Recouped,Auto coupler proximity switch 1 male connector,,REPLACEMENT BY VENDOR,Pending,,,IR is pending.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,NCR-BEML RS3R-T&C-CPD-378,11/Nov/21,10/Nov/21,DC-DC Converter,"During internal checking TC1 VAC1 smoke detector fault was reported. Output voltage of DC-DC converter was not available. So, DC-DC converter was confirmed as faulty.",,,,27700B743C,08912B951C,Shilpa Sahu,1,VAC,11,T-1-VAC1,M/s Faiveley,CLOSED,,,,,Received,,163,"Material- Received
IR- Received",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,NCR-BEML RS3R-T&C-CPD-379,17/Nov/21,10/Jul/21,RS10 AVR Card,"TS#12- TC1 APS1 ACOV fault was detected during internal checking. As confirmed by MELCO, AVR card present inside that APS control unit is faulty.",,,,DL22875PI,DP86763PI,Suraj Pd Barnwal,1,APS,12,T-1-APS1,M/s MELCO,OPEN,,YES,,,"Received 
dt. 29.03.2023",,192,Both IR & material received.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,NCR-BEML RS3R-T&C-CPD-380,15/Nov/21,15/Nov/21,Emergency inverter,"TS#06, TC2, VAC2 failed during OBT (Emergency ventilation test). Same has been reported to M/s FTI. M/s FTI has checked in their MONA app for the fault record. In MONA fault record. “Auto Test not OK “is active. M/s FTI has checked EMI by triggering with MONA & found EMI is working normal. Further FTI has checked for the time delay in starting of Emergency Inverter & found time as 14.8 sec, 12.5 sec & 13.4 sec in three different attempts. Whereas as per PLC software logic, EMI should start with in 12 sec.  

On that ground, Emergency Inverter is replaced with healthy EMI from DLP stock.

IN Sl No.  BTN2028U5I-074

OUT Sl no. BTN2028U5I-0594
",,Unmodified,NO,BTN2028U5I-0594,BTN2028U5I-074,Shilpa Sahu,1,VAC,06,T-2-VAC2,M/s Faiveley,CLOSED,Recouped,Emergency inverter,17.11.21,DLP,Received,,165,Failure rate is high. Issue under monitoring.,"YES
(Attached with NCR 497)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,NCR-BEML RS3R-T&C-CPD-381,25/Nov/21,22/Nov/21,Contactor KM05 & KM07,"On 22.11.2021, Metro Railway has reported for TS#05, MC1, VAC1 supply air fan 1 (SAF-1) CB trip fault. 
On physical checking, it was found that both MPCB, QM05 & QM07 are in tripped conditions. During depot investigation wire looseness of QM05 & QM07 and KM05 & KM07 are checked & found normal. Continuity between QM05-KM05 and QM07-KM07 are checked, found normal.

Further, winding resistance of Supply fan 1 has been checked, found as below: U-V – 13.3 ohm, V-W – 13.3 ohm & U-W – 13.3 ohm.  Data is normal. No abnormality found.  This is a repeated failure (4th time) at the same location, so on suspect basis, MPCB QM05 & QM07 and KM05 & KM07 are replaced with new one. MPCB (QM05 & QM07) has been taken from FTI stock and contactor (KM05 & KM07) has been taken from DLP stock.

After replacement, VAC functionality checked & found ok. Referred VAC will be under observation.
",,,,___,___,Shilpa Sahu,"a) 1
b) 1",VAC,5,M-1-VAC1,M/s Faiveley,CLOSED,,,02.04.22,,28.12.22,,,"Material- Recouped
IR- Received",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,NCR-BEML RS3R-T&C-CPD-382,25/Nov/21,19/Nov/21,Emergency inverter,"TS#10-DMC1, VAC2- emergency inverter faulty reported during On Board Testing of VAC system for train fitness. Same has been reported to M/s FTI. M/s FTI has checked in their MONA & EMI fault recorded. M/s FTI has checked EMI by triggering with MONA & found EMI is not working normal.
On that ground, emergency inverter has been replaced with healthy EMI from FTI stock on dated 24.11.2021.
Out Sl. No: BTN2028U5I-0436 (600 W)
In Sl. No: BTN2028U5I-0575 (700 W) (Type-M1)",,Unmodified,NO,BTN2028U5I-0436,BTN2028U5I-0575,Sunil Kumar Rajan,1,VAC,10,DM-1-VAC2,M/s Faiveley,CLOSED,REPLACED,Emergency inverter,,REPLACEMENT BY VENDOR,Received,,171,Failure rate is high. Issue under monitoring.,"YES
(Attached with NCR 497)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,NCR-BEML RS3R-T&C-CPD-383,25/Nov/21,25/Nov/21,Compressor-2,"On 25.11.2021, Metro Railway has reported for TS#02, MC2, VAC2 Compressor-2 CB trip fault. 

On physical checking, it was found that compressor-2 CB (QM02) was in tripped conditions. During depot investigation wire looseness of MPCB QM02 & contactor KM02 has been checked and found normal. Resistance of KM02 contactor at pin no. 13-14 checked and found as 0.1 ohm, which is normal. Further compressor coil resistance for all 3 phases has been checked & found coil imbalance. 
U-V – 2.1 Ohm
V-W – 1.5 Ohm
U-W – 2.4 Ohm

Based on same, faulty compressor has been replaced with healthy one from DLP stock.

In Sl No. 21FF1002Z
Out Sl No. 18AF3433Z

After replacement, VAC functionality checked & found ok. Referred VAC will be under observation.",,,, 18AF3433Z,21FF1002Z,Shilpa Sahu,1,VAC,2,M-2-VAC2,M/s Faiveley,CLOSED,Recouped,Compressor,25.11.21,DLP,"Received 
12.02.24",,170,Failure rate is high. Issue under monitoring.,"YES
(Attached with NCR 282)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,NCR-BEML RS3R-T&C-CPD-384,29/Nov/21,27/Nov/21,TCMS WIFI device,"Metro railway has been reported LAN Link down connector port REC fault during The Train fitness and found that LAN LINK DOWN FAULT was popping up in TCMS. On investigation it was found that the TCMS WIFI devices mentioned above are not working,",,,,TAGGB1093728,TAGIB1154260,Sunil Kumar Rajan,1,TCMS,8,DM-1,M/s MELCO,CLOSED,,,,,Received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,NCR-BEML RS3R-T&C-CPD-385,06/Dec/21,12/Oct/21,PLC of saloon VAC,"TS#12, TC2-VAC2, compressor 2 CB trip fault reported during train commissioning in depot. Same has been reported to M/s FTI. On checking, it was found that compressor 2 CB, QM02 was physically in tripped condition.
M/s FTI checked in MONA & found that compressor CB tripping fault is active. They have forced CMP 2 thorugh MONS & found that CMP 2 is running physically but feedback for same is not coming. Further, voltage at CMP 2 PLC digital input in P2 connector (Pin- P2: B2) has been checked and found 110 V DC voltage is available.
Based on that it was suspected that referred VAC PLC is faulty. The same has been replaced from FT stock. VAC function checked and found ok.
Faulty Sl. No: 01828 1939
Healthy Sl. No: 01649 1802",,,,01828 1939,01649 1802,Shilpa Sahu,1,VAC,12,T-2-VAC2,M/s Faiveley,CLOSED,REPLACED,PLC,,REPLACEMENT BY VENDOR,Received,,171,Failure rate is high. Issue under monitoring.,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,NCR-BEML RS3R-T&C-CPD-386,11/Dec/21,06/Dec/21,Battery cell block (4 nos. cell),"In TS#08, leakage of electrolyte from “Left side 44 cell battery box (11th block)” in TC2 has been reported.  The same has been informed to OEM, M/s SAFT. On inspection by OEM, it was found that connecting tube of 10th block & 11th block of battery box was having free movement. On suspect basis, when 11th block cell is taken out it was found that connecting tube is broken. 
To make train fit, full 11th block of battery box (consisting of 4 cell) is replaced from DLP stock. Faulty battery doesn’t have Sl No.
Healthy battery Sl No. (Bar coded): B021643720000302T2100220205600130
Faulty cell voltage – 1.30 V
Healthy cell voltage – 1.26 V 
After replacement of battery, battery has been subjected to charge through train APS. Battery Voltage after charging is recorded as 1.30 V.",,,,___,B021643720000302T2100220205600130,Shilpa Sahu,1,Battery,8,T-2-LH-44 cell,M/s SAFT,OPEN,Recouped,Battery cell block (4 nos. cell),08.12.21,DLP,Pending,,,IR- Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,NCR-BEML RS3R-T&C-CPD-387,11/Dec/21,08/Dec/21,Supply air fan (SAF) 1,"In TS#01- , DMC2, VAC 2, Supply air fan 1 CB trip fault reported in Mainline. The same has been checked by connecting with MONA app. Physically QF21 MCB & QM05 MPCB were found in tripped condition.
Further, for checking winding resistance of SAF-2, X04 harting connector has been removed. Winding resistance has been checked between pin 19-20,20-21 & 21-19. Value details are:
a) Pin 16-17 - OL, it’s not ok.
b) Pin 17-18 – OL, it’s not ok.
c) Pin 18-17 – OL, it’s not ok.
Further, winding resistance at SAF motor side has also been checked at UV, VW & WU. It was found open loop in all three phase. So, Supply air fan is suspected.
The same has been replaced from DLP stock. After that function check & OBT done and found normal.
Faulty Sl No.:  AH-07003768/1752/021
Healthy Sl No.:  AH-07006150/1912/01",,,,AH-07003768/1752/021,AH-07006150/1912/01,Shilpa Sahu,1,VAC,01,DM-2- VAC2,M/s Faiveley,CLOSED,,,21.02.22,,Received,,177,"Material- Recouped 
IR- Received",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,NCR-BEML RS3R-T&C-CPD-388,11/Dec/21,04/Dec/21,DVR,"Metro Railway reported that CCTV communication error and CCTV major fault popped up in TCMS VDU. Same has been checked and found that DVR power light was not glowing even when supply was available. Therefore, DVR replaced with a healthy one. 
After replacement, the fault disappeared and power light started glowing thus it was confirmed that DVR was faulty.
This is 7th DVR failure.",,,,1802137-0013,1802137-0018,Suraj Pd Barnwal,1,PAPIS,2,DM-2,M/s Televic,CLOSED,,,,,"Received 
28.08.23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,NCR-BEML RS3R-T&C-CPD-389,23/Dec/21,13/Dec/21,TCMS WIFI device,"1. Faulty LED was glowing in wi-fi device, Sl. No. DM37240. Wiring side found normal. Device is confirmed to be faulty.
2. LAN LED was glowing in wi-fi device, Sl. No. DM37241. Wiring side found normal. Device is confirmed to be faulty.

[Healthy wi-fi devices have been removed from TS#11 & installed in TS#02.]",MS-A1955,,,"i. DM37240 
ii. DM37241",___,Suraj Pd Barnwal,2,TCMS,2,DMC1 & DMC2,M/s MELCO,OPEN,"Recouped on 
13.01.2025",,,,"Received on
15.01.2025",,,Material pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,NCR-BEML RS3R-T&C-CPD-390,16/Dec/21,16/Dec/21,EBCU system and field support system,"1. KBI's recommendation is not conforming to system's requirement: ""EBCU Fault- FDS Apply DCL failure B2"" in B3110 was reported in TS#10 at 10:21:48 hours and the same was communicated to KBI team before 10:28. In accordance to KBI'S recommendation, the brakes were applied and released but fault did not reset. Train was required to Aux-Off and Aux-On at midway of its journey to reset the fault.

2. KBI's field support is not available physically on the train in the event of failures even in normal working hours.",,,,___,___,Sunil Kumar Rajan,___,Brake,10,T-1,M/s KBI,OPEN,,,,,,,,Software 1.20 has been uploaded in all trainsets. Issue under monitoring.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,NCR-BEML RS3R-T&C-CPD-391,20/Dec/21,22/Oct/21,FAEMV electrical connector,"It is observed that EBMVCB in TC1 and TLCB2 in DMC1 was getting tripped while emergency brake was released by TBC. On investigation, it was found that diode inside FAEMV electrical connector was in broken condition and diode resistance value is 0.3 ohm instead of OL (Open Loop) in M ohm.",,,,Part No: STN33642/F008,___,Shilpa Sahu,1,Brake,14,T-1,M/s KBI,CLOSED,,,,,,,,"Considering it stray case, NCR was requested for closure. Further 5 nos connectors found defective, including the one in DLP. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,NCR-BEML RS3R-T&C-CPD-392,20/Dec/21,17/Dec/21,Partition door lock,"Panel lock extension (female part) of the partition door lock (male end) fallen down during normal operation of the train. The train operator was not able to operate the partition door from saloon side in revenue operation.
On investigation, Circlip was found missing. ",,,,___,___,Suraj Pd Barnwal,1,Interior,4,DM-2,M/s ADS Rail,OPEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,NCR-BEML RS3R-T&C-CPD-393,20/Dec/21,20/Dec/21,Partition door lock,"Partition door Lock lever was not coming back to its normal position after opening partition door lock.
On investigation, It was noticed that the handle (male part) was exerting thrust on the lock (female part) and not allowing free movement to the lever.",,,,Assy Dwg No: 942-14003B,___,Suraj Pd Barnwal,1,Interior,7,DM-1,M/s ADS Rail,OPEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,NCR-BEML RS3R-T&C-CPD-394,22/Dec/21,21/Dec/21,Emergency inverter,"TS#05- MC1- VAC1- Emergency inverter fault reported during On-board test of revenue train at IBL. First time emergency inverter fault reported on 09.12.2021 & FTI did not found any abnormality as per FTI report.
This is 2nd time above fault reported on 22.12.2021 and emergency inverter output power was not coming during investigation.",,Unmodified,NO,BTN2028U5I-216,BTN2028U5I-346,Sunil Kumar Rajan,1,VAC,05,M-1-VAC1,M/s Faiveley,CLOSED,REPLACED,Emergency inverter,,REPLACEMENT BY VENDOR,Received,,182,Failure rate is high. Issue under monitoring.,"YES
(Attached with NCR 497)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,NCR-BEML RS3R-T&C-CPD-395,23/Dec/21,30/Oct/21,AAU,During internal checking it was found that AAU was producing abnormal sound.,,,,1800962-0004,___,Shashi Shekhar Mishra,1,PAPIS,4,M-1,M/s Televic,CLOSED,,,,,"Received
28.08.23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,NCR-BEML RS3R-T&C-CPD-396,23/Dec/21,08/Sep/21,AAU,During internal checking it was found that AAU was producing abnormal sound.,,,,1800178-0018,___,Shashi Shekhar Mishra,1,PAPIS,2,DM-2,M/s Televic,CLOSED,,,,,"Received
28.08.23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,NCR-BEML RS3R-T&C-CPD-397,23/Dec/21,30/Oct/21,AAU,During internal checking it was found that AAU was producing abnormal sound.,,,,1800178-0020,___,Shashi Shekhar Mishra,1,PAPIS,1,T-2,M/s Televic,CLOSED,,,,,"Received
28.08.23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,NCR-BEML RS3R-T&C-CPD-398,23/Dec/21,29/Oct/21,AAU,During internal checking it was found that AAU was producing abnormal sound.,,,,1800962-0015,___,Shashi Shekhar Mishra,1,PAPIS,5,M-1,M/s Televic,CLOSED,,,,,"Received
28.08.23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,NCR-BEML RS3R-T&C-CPD-399,23/Dec/21,30/Oct/21,AAU,During internal checking it was found that AAU was producing abnormal sound.,,,,1800962-0019,___,Shashi Shekhar Mishra,1,PAPIS,9,DM-2,M/s Televic,CLOSED,,,,,"Received
28.08.23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,NCR-BEML RS3R-T&C-CPD-400,23/Dec/21,01/Dec/21,Camera,During internal checking it was found that camera was not working.,,,,ACCC8E9791A,___,Shashi Shekhar Mishra,1,CCTV,6,T-2-L1,M/s Televic,OPEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,NCR-BEML RS3R-T&C-CPD-401,23/Dec/21,23/Nov/21,Camera,During internal checking it was found that camera was not working.,,,,ACCC8E6B62B5,___,Shashi Shekhar Mishra,1,CCTV,2,T-2-R1,M/s Televic,OPEN,Repaired,,,,,Mail received on 21.04.22 for receiving materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,NCR-BEML RS3R-T&C-CPD-402,23/Dec/21,17/Apr/21,AAU,During internal checking it was found that AAU was producing abnormal sound.,,,,1800962-0011,,Shashi Shekhar Mishra,1,PAPIS,7,M-2,M/s Televic,CLOSED,,,,,"Received
28.08.23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
